C Vehicle water tank capacity /5000.0/
U Vehicle acquisition cost /10/

StringID    Type        Water       ServiceTime ReadyTime   DueTime     
D28         d           0.0         0.0         0.0         20          
W28         w           0.0         5.0         0.0         20          
C6_7_0      c           1275.0      6.38        0.0         20.0        
C6_16_0     c           510.0       2.55        0.0         20.0        
C7_6_0      c           1275.0      6.38        0.0         20.0        
C7_19_0     c           525.0       2.62        0.0         20.0        
C16_19_0    c           1275.0      6.38        0.0         20.0        
C16_6_0     c           510.0       2.55        0.0         20.0        
C16_27_0    c           465.0       2.33        0.0         20.0        
C19_16_0    c           1275.0      6.38        0.0         20.0        
C19_7_0     c           525.0       2.62        0.0         20.0        
C19_29_0    c           525.0       2.62        0.0         20.0        
C27_28_0    c           525.0       2.62        0.0         20.0        
C27_16_0    c           465.0       2.33        0.0         20.0        
C28_27_0    c           525.0       2.62        0.0         20.0        
C28_29_0    c           705.0       3.52        0.0         20.0        
C29_28_0    c           705.0       3.52        0.0         20.0        
C29_19_0    c           525.0       2.62        0.0         20.0        


From        To          TravelTime  IntermediateLinks
C7_6_0      C7_19_0     2.62        1           
C7_19_0     C7_6_0      1.31        1           
C7_6_0      C16_19_0    1.29        1           
C16_19_0    C7_6_0      1.31        1           
C7_6_0      C16_6_0     1.29        1           
C16_6_0     C7_6_0      2.62        1           
C7_6_0      C16_27_0    1.29        1           
C16_27_0    C7_6_0      4.72        3           
C7_6_0      C19_16_0    3.71        2           
C19_16_0    C7_6_0      3.71        2           
C7_6_0      C19_7_0     3.71        2           
C19_7_0     C7_6_0      0.2         0           
C7_6_0      C19_29_0    3.71        2           
C19_29_0    C7_6_0      2.42        2           
C7_6_0      C27_28_0    2.3         2           
C27_28_0    C7_6_0      3.85        3           
C7_6_0      C27_16_0    2.3         2           
C27_16_0    C7_6_0      3.71        2           
C7_6_0      C28_27_0    3.41        3           
C28_27_0    C7_6_0      4.72        3           
C7_6_0      C28_29_0    3.41        3           
C28_29_0    C7_6_0      2.42        2           
C7_6_0      C29_28_0    4.84        4           
C29_28_0    C7_6_0      3.85        3           
C7_6_0      C29_19_0    4.84        4           
C29_19_0    C7_6_0      1.31        1           
C7_19_0     C16_19_0    2.62        1           
C16_19_0    C7_19_0     1.31        1           
C7_19_0     C16_6_0     2.62        1           
C16_6_0     C7_19_0     2.62        1           
C7_19_0     C16_27_0    2.62        1           
C16_27_0    C7_19_0     4.72        3           
C7_19_0     C19_16_0    0.2         0           
C19_16_0    C7_19_0     3.71        2           
C7_19_0     C19_7_0     0.2         0           
C19_7_0     C7_19_0     0.2         0           
C7_19_0     C19_29_0    0.2         0           
C19_29_0    C7_19_0     2.42        2           
C7_19_0     C27_28_0    3.63        2           
C27_28_0    C7_19_0     3.85        3           
C7_19_0     C27_16_0    3.63        2           
C27_16_0    C7_19_0     3.71        2           
C7_19_0     C28_27_0    2.74        2           
C28_27_0    C7_19_0     4.72        3           
C7_19_0     C28_29_0    2.74        2           
C28_29_0    C7_19_0     2.42        2           
C7_19_0     C29_28_0    1.31        1           
C29_28_0    C7_19_0     3.85        3           
C7_19_0     C29_19_0    1.31        1           
C29_19_0    C7_19_0     1.31        1           
C16_19_0    C16_6_0     2.62        1           
C16_6_0     C16_19_0    1.29        1           
C16_19_0    C16_27_0    2.62        1           
C16_27_0    C16_19_0    1.21        1           
C16_19_0    C19_16_0    0.2         0           
C19_16_0    C16_19_0    0.2         0           
C16_19_0    C19_7_0     0.2         0           
C19_7_0     C16_19_0    3.71        2           
C16_19_0    C19_29_0    0.2         0           
C19_29_0    C16_19_0    3.75        3           
C16_19_0    C27_28_0    3.63        2           
C27_28_0    C16_19_0    2.32        2           
C16_19_0    C27_16_0    3.63        2           
C27_16_0    C16_19_0    0.2         0           
C16_19_0    C28_27_0    2.74        2           
C28_27_0    C16_19_0    1.21        1           
C16_19_0    C28_29_0    2.74        2           
C28_29_0    C16_19_0    3.75        3           
C16_19_0    C29_28_0    1.31        1           
C29_28_0    C16_19_0    2.32        2           
C16_19_0    C29_19_0    1.31        1           
C29_19_0    C16_19_0    2.62        1           
C16_6_0     C16_27_0    1.29        1           
C16_27_0    C16_6_0     1.21        1           
C16_6_0     C19_16_0    3.71        2           
C19_16_0    C16_6_0     0.2         0           
C16_6_0     C19_7_0     3.71        2           
C19_7_0     C16_6_0     3.71        2           
C16_6_0     C19_29_0    3.71        2           
C19_29_0    C16_6_0     3.75        3           
C16_6_0     C27_28_0    2.3         2           
C27_28_0    C16_6_0     2.32        2           
C16_6_0     C27_16_0    2.3         2           
C27_16_0    C16_6_0     0.2         0           
C16_6_0     C28_27_0    3.41        3           
C28_27_0    C16_6_0     1.21        1           
C16_6_0     C28_29_0    3.41        3           
C28_29_0    C16_6_0     3.75        3           
C16_6_0     C29_28_0    4.84        4           
C29_28_0    C16_6_0     2.32        2           
C16_6_0     C29_19_0    4.84        4           
C29_19_0    C16_6_0     2.62        1           
C16_27_0    C19_16_0    3.63        2           
C19_16_0    C16_27_0    0.2         0           
C16_27_0    C19_7_0     3.63        2           
C19_7_0     C16_27_0    3.71        2           
C16_27_0    C19_29_0    3.63        2           
C19_29_0    C16_27_0    3.75        3           
C16_27_0    C27_28_0    0.2         0           
C27_28_0    C16_27_0    2.32        2           
C16_27_0    C27_16_0    0.2         0           
C27_16_0    C16_27_0    0.2         0           
C16_27_0    C28_27_0    1.31        1           
C28_27_0    C16_27_0    1.21        1           
C16_27_0    C28_29_0    1.31        1           
C28_29_0    C16_27_0    3.75        3           
C16_27_0    C29_28_0    2.74        2           
C29_28_0    C16_27_0    2.32        2           
C16_27_0    C29_19_0    2.74        2           
C29_19_0    C16_27_0    2.62        1           
C19_16_0    C19_7_0     2.62        1           
C19_7_0     C19_16_0    1.31        1           
C19_16_0    C19_29_0    2.62        1           
C19_29_0    C19_16_0    1.31        1           
C19_16_0    C27_28_0    1.21        1           
C27_28_0    C19_16_0    2.74        2           
C19_16_0    C27_16_0    1.21        1           
C27_16_0    C19_16_0    2.62        1           
C19_16_0    C28_27_0    2.32        2           
C28_27_0    C19_16_0    3.63        2           
C19_16_0    C28_29_0    2.32        2           
C28_29_0    C19_16_0    1.31        1           
C19_16_0    C29_28_0    3.75        3           
C29_28_0    C19_16_0    2.74        2           
C19_16_0    C29_19_0    3.75        3           
C29_19_0    C19_16_0    0.2         0           
C19_7_0     C19_29_0    1.31        1           
C19_29_0    C19_7_0     1.31        1           
C19_7_0     C27_28_0    4.72        3           
C27_28_0    C19_7_0     2.74        2           
C19_7_0     C27_16_0    4.72        3           
C27_16_0    C19_7_0     2.62        1           
C19_7_0     C28_27_0    3.85        3           
C28_27_0    C19_7_0     3.63        2           
C19_7_0     C28_29_0    3.85        3           
C28_29_0    C19_7_0     1.31        1           
C19_7_0     C29_28_0    2.42        2           
C29_28_0    C19_7_0     2.74        2           
C19_7_0     C29_19_0    2.42        2           
C29_19_0    C19_7_0     0.2         0           
C19_29_0    C27_28_0    2.74        2           
C27_28_0    C19_29_0    2.74        2           
C19_29_0    C27_16_0    2.74        2           
C27_16_0    C19_29_0    2.62        1           
C19_29_0    C28_27_0    1.63        1           
C28_27_0    C19_29_0    3.63        2           
C19_29_0    C28_29_0    1.63        1           
C28_29_0    C19_29_0    1.31        1           
C19_29_0    C29_28_0    0.2         0           
C29_28_0    C19_29_0    2.74        2           
C19_29_0    C29_19_0    0.2         0           
C29_19_0    C19_29_0    0.2         0           
C27_28_0    C27_16_0    1.31        1           
C27_16_0    C27_28_0    1.21        1           
C27_28_0    C28_27_0    0.2         0           
C28_27_0    C27_28_0    0.2         0           
C27_28_0    C28_29_0    0.2         0           
C28_29_0    C27_28_0    2.74        2           
C27_28_0    C29_28_0    1.63        1           
C29_28_0    C27_28_0    1.31        1           
C27_28_0    C29_19_0    1.63        1           
C29_19_0    C27_28_0    3.63        2           
C27_16_0    C28_27_0    2.32        2           
C28_27_0    C27_16_0    0.2         0           
C27_16_0    C28_29_0    2.32        2           
C28_29_0    C27_16_0    2.74        2           
C27_16_0    C29_28_0    3.75        3           
C29_28_0    C27_16_0    1.31        1           
C27_16_0    C29_19_0    3.75        3           
C29_19_0    C27_16_0    3.63        2           
C28_27_0    C28_29_0    1.31        1           
C28_29_0    C28_27_0    1.63        1           
C28_27_0    C29_28_0    2.74        2           
C29_28_0    C28_27_0    0.2         0           
C28_27_0    C29_19_0    2.74        2           
C29_19_0    C28_27_0    2.74        2           
C28_29_0    C29_28_0    0.2         0           
C29_28_0    C28_29_0    0.2         0           
C28_29_0    C29_19_0    0.2         0           
C29_19_0    C28_29_0    2.74        2           
C29_28_0    C29_19_0    1.63        1           
C29_19_0    C29_28_0    1.31        1           
