C Vehicle water tank capacity /5000.0/
U Vehicle acquisition cost /0/

StringID    Type        Water       ServiceTime ReadyTime   DueTime     
D18         d           0.0         0.0         0.0         20          
W18         w           0.0         5.0         0.0         20          
C17_18_0    c           675.0       3.38        0.0         20.0        
C17_10_0    c           532.5       2.66        0.0         20.0        
C18_17_0    c           675.0       3.38        0.0         20.0        
C18_19_0    c           622.5       3.11        0.0         20.0        
C18_11_0    c           540.0       2.7         0.0         20.0        
C19_18_0    c           622.5       3.11        0.0         20.0        
C19_12_0    c           540.0       2.7         0.0         20.0        
C10_17_0    c           532.5       2.66        0.0         20.0        
C10_11_0    c           667.5       3.34        0.0         20.0        
C11_18_0    c           540.0       2.7         0.0         20.0        
C11_10_0    c           667.5       3.34        0.0         20.0        
C11_12_0    c           615.0       3.08        0.0         20.0        
C12_19_0    c           540.0       2.7         0.0         20.0        
C12_11_0    c           615.0       3.08        0.0         20.0        


From        To          TravelTime  IntermediateLinks
C18_17_0    C18_19_0    1.57        1           
C18_19_0    C18_17_0    1.48        1           
C18_17_0    C18_11_0    1.57        1           
C18_11_0    C18_17_0    1.34        1           
C18_17_0    C19_18_0    2.85        2           
C19_18_0    C18_17_0    0.2         0           
C18_17_0    C19_12_0    2.85        2           
C19_12_0    C18_17_0    2.61        2           
C18_17_0    C10_17_0    1.33        1           
C10_17_0    C18_17_0    1.57        1           
C18_17_0    C10_11_0    1.33        1           
C10_11_0    C18_17_0    1.34        1           
C18_17_0    C11_18_0    2.69        2           
C11_18_0    C18_17_0    0.2         0           
C18_17_0    C11_10_0    2.69        2           
C11_10_0    C18_17_0    2.7         2           
C18_17_0    C11_12_0    2.69        2           
C11_12_0    C18_17_0    2.61        2           
C18_17_0    C12_19_0    3.96        3           
C12_19_0    C18_17_0    1.48        1           
C18_17_0    C12_11_0    3.96        3           
C12_11_0    C18_17_0    1.34        1           
C18_19_0    C18_11_0    1.48        1           
C18_11_0    C18_19_0    1.34        1           
C18_19_0    C19_18_0    0.2         0           
C19_18_0    C18_19_0    0.2         0           
C18_19_0    C19_12_0    0.2         0           
C19_12_0    C18_19_0    2.61        2           
C18_19_0    C10_17_0    3.97        3           
C10_17_0    C18_19_0    1.57        1           
C18_19_0    C10_11_0    3.97        3           
C10_11_0    C18_19_0    1.34        1           
C18_19_0    C11_18_0    2.61        2           
C11_18_0    C18_19_0    0.2         0           
C18_19_0    C11_10_0    2.61        2           
C11_10_0    C18_19_0    2.7         2           
C18_19_0    C11_12_0    2.61        2           
C11_12_0    C18_19_0    2.61        2           
C18_19_0    C12_19_0    1.34        1           
C12_19_0    C18_19_0    1.48        1           
C18_19_0    C12_11_0    1.34        1           
C12_11_0    C18_19_0    1.34        1           
C18_11_0    C19_18_0    2.61        2           
C19_18_0    C18_11_0    0.2         0           
C18_11_0    C19_12_0    2.61        2           
C19_12_0    C18_11_0    2.61        2           
C18_11_0    C10_17_0    1.56        1           
C10_17_0    C18_11_0    1.57        1           
C18_11_0    C10_11_0    1.56        1           
C10_11_0    C18_11_0    1.34        1           
C18_11_0    C11_18_0    0.2         0           
C11_18_0    C18_11_0    0.2         0           
C18_11_0    C11_10_0    0.2         0           
C11_10_0    C18_11_0    2.7         2           
C18_11_0    C11_12_0    0.2         0           
C11_12_0    C18_11_0    2.61        2           
C18_11_0    C12_19_0    1.47        1           
C12_19_0    C18_11_0    1.48        1           
C18_11_0    C12_11_0    1.47        1           
C12_11_0    C18_11_0    1.34        1           
C19_18_0    C19_12_0    1.48        1           
C19_12_0    C19_18_0    1.34        1           
C19_18_0    C10_17_0    2.7         2           
C10_17_0    C19_18_0    2.85        2           
C19_18_0    C10_11_0    2.7         2           
C10_11_0    C19_18_0    2.61        2           
C19_18_0    C11_18_0    1.34        1           
C11_18_0    C19_18_0    1.48        1           
C19_18_0    C11_10_0    1.34        1           
C11_10_0    C19_18_0    3.97        3           
C19_18_0    C11_12_0    1.34        1           
C11_12_0    C19_18_0    1.34        1           
C19_18_0    C12_19_0    2.61        2           
C12_19_0    C19_18_0    0.2         0           
C19_18_0    C12_11_0    2.61        2           
C12_11_0    C19_18_0    2.61        2           
C19_12_0    C10_17_0    2.83        2           
C10_17_0    C19_12_0    2.85        2           
C19_12_0    C10_11_0    2.83        2           
C10_11_0    C19_12_0    2.61        2           
C19_12_0    C11_18_0    1.47        1           
C11_18_0    C19_12_0    1.48        1           
C19_12_0    C11_10_0    1.47        1           
C11_10_0    C19_12_0    3.97        3           
C19_12_0    C11_12_0    1.47        1           
C11_12_0    C19_12_0    1.34        1           
C19_12_0    C12_19_0    0.2         0           
C12_19_0    C19_12_0    0.2         0           
C19_12_0    C12_11_0    0.2         0           
C12_11_0    C19_12_0    2.61        2           
C10_17_0    C10_11_0    1.33        1           
C10_11_0    C10_17_0    1.56        1           
C10_17_0    C11_18_0    2.69        2           
C11_18_0    C10_17_0    2.7         2           
C10_17_0    C11_10_0    2.69        2           
C11_10_0    C10_17_0    0.2         0           
C10_17_0    C11_12_0    2.69        2           
C11_12_0    C10_17_0    2.83        2           
C10_17_0    C12_19_0    3.96        3           
C12_19_0    C10_17_0    3.97        3           
C10_17_0    C12_11_0    3.96        3           
C12_11_0    C10_17_0    1.56        1           
C10_11_0    C11_18_0    0.2         0           
C11_18_0    C10_11_0    2.7         2           
C10_11_0    C11_10_0    0.2         0           
C11_10_0    C10_11_0    0.2         0           
C10_11_0    C11_12_0    0.2         0           
C11_12_0    C10_11_0    2.83        2           
C10_11_0    C12_19_0    1.47        1           
C12_19_0    C10_11_0    3.97        3           
C10_11_0    C12_11_0    1.47        1           
C12_11_0    C10_11_0    1.56        1           
C11_18_0    C11_10_0    1.34        1           
C11_10_0    C11_18_0    1.56        1           
C11_18_0    C11_12_0    1.34        1           
C11_12_0    C11_18_0    1.47        1           
C11_18_0    C12_19_0    2.61        2           
C12_19_0    C11_18_0    2.61        2           
C11_18_0    C12_11_0    2.61        2           
C12_11_0    C11_18_0    0.2         0           
C11_10_0    C11_12_0    1.56        1           
C11_12_0    C11_10_0    1.47        1           
C11_10_0    C12_19_0    2.83        2           
C12_19_0    C11_10_0    2.61        2           
C11_10_0    C12_11_0    2.83        2           
C12_11_0    C11_10_0    0.2         0           
C11_12_0    C12_19_0    0.2         0           
C12_19_0    C11_12_0    2.61        2           
C11_12_0    C12_11_0    0.2         0           
C12_11_0    C11_12_0    0.2         0           
C12_19_0    C12_11_0    1.34        1           
C12_11_0    C12_19_0    1.47        1           
